split,image_path,label,video_id,frame_index,timestamp_s,width,height
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000000.jpg,bedroom,0000cc6d8b108390,0,0.000,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000015.jpg,bedroom,0000cc6d8b108390,15,0.501,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000030.jpg,bedroom,0000cc6d8b108390,30,1.001,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000045.jpg,bedroom,0000cc6d8b108390,45,1.502,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000060.jpg,bedroom,0000cc6d8b108390,60,2.002,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000075.jpg,bedroom,0000cc6d8b108390,75,2.503,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000090.jpg,bedroom,0000cc6d8b108390,90,3.003,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000105.jpg,bedroom,0000cc6d8b108390,105,3.504,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000120.jpg,bedroom,0000cc6d8b108390,120,4.004,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000135.jpg,bedroom,0000cc6d8b108390,135,4.505,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000150.jpg,bedroom,0000cc6d8b108390,150,5.005,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000165.jpg,bedroom,0000cc6d8b108390,165,5.506,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000180.jpg,bedroom,0000cc6d8b108390,180,6.006,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000195.jpg,bedroom,0000cc6d8b108390,195,6.507,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000210.jpg,bedroom,0000cc6d8b108390,210,7.007,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000225.jpg,kitchen,0000cc6d8b108390,225,7.508,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000240.jpg,bedroom,0000cc6d8b108390,240,8.008,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000255.jpg,bedroom,0000cc6d8b108390,255,8.509,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000270.jpg,bedroom,0000cc6d8b108390,270,9.009,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0000cc6d8b108390_000285.jpg,bedroom,0000cc6d8b108390,285,9.510,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000000.jpg,kitchen,00028da87cc5a4c4,0,0.000,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000015.jpg,kitchen,00028da87cc5a4c4,15,0.500,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000030.jpg,kitchen,00028da87cc5a4c4,30,1.001,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000045.jpg,kitchen,00028da87cc5a4c4,45,1.501,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000060.jpg,kitchen,00028da87cc5a4c4,60,2.002,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000075.jpg,kitchen,00028da87cc5a4c4,75,2.502,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000090.jpg,kitchen,00028da87cc5a4c4,90,3.003,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000105.jpg,kitchen,00028da87cc5a4c4,105,3.503,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000120.jpg,kitchen,00028da87cc5a4c4,120,4.003,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000135.jpg,kitchen,00028da87cc5a4c4,135,4.504,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000150.jpg,kitchen,00028da87cc5a4c4,150,5.004,1280,720
val,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\val\00028da87cc5a4c4_000165.jpg,kitchen,00028da87cc5a4c4,165,5.505,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000000.jpg,kitchen,0002b126b0a8a685,0,0.000,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000015.jpg,kitchen,0002b126b0a8a685,15,0.500,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000030.jpg,kitchen,0002b126b0a8a685,30,1.000,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000045.jpg,kitchen,0002b126b0a8a685,45,1.500,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000060.jpg,kitchen,0002b126b0a8a685,60,2.000,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000075.jpg,kitchen,0002b126b0a8a685,75,2.500,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000090.jpg,kitchen,0002b126b0a8a685,90,3.000,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000105.jpg,kitchen,0002b126b0a8a685,105,3.500,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000120.jpg,kitchen,0002b126b0a8a685,120,4.000,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000135.jpg,kitchen,0002b126b0a8a685,135,4.500,1280,720
train,d:\smartnest.ai\smartnest_media_dataset\data\media_dataset\frames\RealEstate10K_frames\images\train\0002b126b0a8a685_000150.jpg,kitchen,0002b126b0a8a685,150,5.000,1280,720
